deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Veselka Grand Central,Veselka,East Village,85.0%,97fd500a-b86c-4daa-be1e-c1931120a71c,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Dalida Mission,Dalida,Mission,90.0%,ad840011-4e34-4242-a78b-23ebf509d16c,c367f0ed-1ce4-483c-8975-13a0821ac9a7,Dalida,"500,000"
Octavia Pacific Heights,Octavia,Pacific Heights,81.7%,15cc087f-3108-458e-ac4c-aff79aa919ce,052e04f5-b43a-4785-9b9c-f19fb472352b,Frances / Octavia,"500,000"
Inday All Day Williamsburg,Inday All Day,Williamsburg,91.7%,8f227eea-26af-4212-93ab-45c6e2e50952,6f8e354d-4c3f-4722-891a-5e0d6316e5c2,Inday,"500,000"
Gair Dumbo,Gair,Dumbo,87.1%,ac2ab9f4-cd36-4cd7-aac2-85b8d289c347,69dc2a30-938e-444c-97df-4d644cf9d08b,Gair,"500,000"
The Commodore Williamsburg,Commodore II,LES,80.6%,8894f0e0-e7d7-4b14-8b9a-329e760117f9,d41efca1-f4b1-43e7-b24b-a51a500b7573,The Commodore Bars,"500,000"
Berkeley’s Hampton Park Terrace,Berkeley’s,Hampton Park Terrace,83.8%,a6166c2b-dc7f-42a1-b8a6-4d77cd3a22f4,d4e624dd-a966-4c3a-a78d-8deb5da66271,The Archer / Berkeley's,"500,000"
The Harlow James Island,The Harlow,James Island,83.0%,c396f294-a9b9-4f21-a26a-c700af124aec,83d3f742-f48d-4ff4-8130-33406ff427e0,The Harlow,"500,000"
Little Rascal Greenpoint,Little Rascal,Greenpoint,90.3%,47612c2f-3e7e-4fb9-ba41-8d7310191c88,87f2c447-ad1d-42a1-a06c-981284da77a6,Little Rascal,"500,000"
Verde Park Circle,Verde,Avondale,80.5%,dde66a49-1671-44a5-96a5-73b1f8c6cac1,2fc1aa71-b3ff-475b-86bb-b1578d0b6f1e,Verde,"500,000"
Frannie & The Fox Downtown,Frannie & The Fox,Downtown,91.0%,cf0dda93-b7a8-4c17-bf12-bea8f8c9bd41,3b3b5f97-45a0-451f-bdd4-9c221a041538,Hotel Emeline,"500,000"
Bar Enzo Long Island City,Bar Enzo,Long Island City,83.5%,c734fead-61d2-451a-b217-ae2ed2879735,93ae0fe1-50c7-42ef-bf81-d894f4c6e069,The Greats of Craft & Bar Enzo,"500,000"
Meraki Williamsburg,Veselka Williamsburg,Williamsburg,86.9%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Trevino Wine Bar,Corsica Wine Bar,RiNo,83.8%,afbd71ed-bd4a-4b17-add9-befa791404db,73903e2e-8dbe-4cf7-9bd6-3dd3aab12327,Barcelona Wine + Corsica,"500,000"
Verde - King Street,Verde,Avondale,80.5%,dde66a49-1671-44a5-96a5-73b1f8c6cac1,2fc1aa71-b3ff-475b-86bb-b1578d0b6f1e,Verde,"500,000"
Rosevale Cocktail Bar - New Deal,Rosevale Cocktail Room,Midtown,83.1%,6b67c6a1-1f69-4dbd-842c-dafe8601a26d,b6bd8332-ccba-4ec8-ac5d-5382e7602b21,Carver Road Hospitality,"500,000"
Wildflower Chelsea,Wildflower,Chelsea,91.4%,5f0ce86b-ebc3-48ee-b224-2fb78599efff,9cc9e631-41ba-4de9-a22b-1bc287ba4b3e,Madam Mikette's / Wildflower,0
HED 11 SOMA,HED 11,Japantown,90.6%,902d8852-5df2-4215-81ff-81f24a134133,2c2a0d74-8916-4726-8e5f-640fcbf9beda,HED 11,"500,000"
Little Palm Downtown,Little Palm,Downtown,91.0%,7bca934c-6934-40d1-8b8d-eece287cfba3,3b3b5f97-45a0-451f-bdd4-9c221a041538,Hotel Emeline,"500,000"
Carlotto Union Square,Carlotto,Union Square,90.2%,796a1658-19b8-4bc5-a06f-20ed9310f0b9,69d05307-fbb4-4053-9e60-26903c34bbac,Toptable Group,"500,000"
Amarena Russian Hill,Amarena,Russian Hill,86.9%,1ed0d1bd-3256-4369-b310-0e45903ef42d,1dc21ea6-d805-4a25-8057-621e12a3263c,Amarena,"500,000"
Wine:30 - New Deal,Wine:30,Nomad,90.9%,4e2e487b-ff97-42b4-b152-7ad5d4525f3f,48234d43-a7ba-4a22-9bef-c2cf894cc373,Wine:30,"500,000"
Blanca Bushwick,Nowon - Bushwick,Bushwick,89.0%,74764720-94b0-4be2-a50e-b358dda5b45d,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Foul Witch Alphabet City,Foul Witch,Alphabet City,88.8%,29088512-c0f4-4bcd-92bb-f5ecd550803c,c3d4c1ab-acc3-45be-b318-18ae9f680470,Roberta's,"500,000"
Roberta's Williamsburg,Roberta's,Bushwick,88.1%,ad248d48-8f51-4f00-83f5-4771f1926f8a,c3d4c1ab-acc3-45be-b318-18ae9f680470,Roberta's,"500,000"
Lowland French Quarter,Lowland,French Quarter,83.3%,8c0bd0a8-1aca-48f0-9a7d-330e01c7ba5d,03ebd4e9-ae20-4413-97fa-3cd8f9958b02,Lowland Charleston,"500,000"
Arthur and Sons Murray Hill,Arthur and Sons,Murray Hill,91.4%,37544e61-37fc-408e-b23c-1c5d9ba9af0a,8c6f8248-cae5-4809-a0e7-cbc557c5f722,Arthur and Sons,"500,000"
Brooklyn Brewery Williamsburg,Brooklyn Brewery,Williamsburg,91.1%,94baead0-d295-42c5-8ad9-26d345909160,facaeef8-3bb3-47c2-a6df-f20f0239dac4,Brooklyn Brewery,"500,000"
X-Golf Williamsburg,Veselka Williamsburg,Williamsburg,91.8%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Midnights - New Deal,Midnights,Williamsburg,91.7%,41078c6c-8d25-4906-90aa-8f43a1d6e9dd,58db2dc6-dcf9-4f42-8caa-9f0d6b3f290e,Vantage Point Hospitality,"500,000"
