deal_name,restaurant_name,location_name,match_confidence,restaurant_id,restaurant_group_id,restaurant_group_name,fly_allocation
Little Prince South Village,Little Prince,South Village,100.0%,b235b265-d944-49b0-96d9-101ba4f75e1f,0d46938c-5d07-46e6-aa9c-487bc163ea2b,Prince Street Hospitality,"250,000"
Lola Taverna South Village,Lola Taverna,South Village,100.0%,807f80d5-b3aa-4a64-99fa-5261c9590b20,0d46938c-5d07-46e6-aa9c-487bc163ea2b,Prince Street Hospitality,"250,000"
Farm to People Kitchen & Bar Bushwick,Farm to People Kitchen & Bar,Bushwick,100.0%,b7f6543b-00d8-43d9-a1b6-cc5f96e72c82,4e4a85d6-f677-4aea-bf4b-3c6571e4cce7,Farm to People,"250,000"
Panzón Greenpoint,Panzón,Greenpoint,92.2%,05c5ef58-e4a0-4ce5-98d5-0ed7356ca3d7,fec5730b-01c7-4ac6-891e-64d524c8d3bb,Panzón,"250,000"
Barbuto West Village,Criollas West Village,West Village,93.3%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
St. Tropez West Village,St. Tropez,West Village,98.1%,f0525e6c-f2bb-4936-9c5a-ce5eea7b0097,bd842b88-ecb3-47c5-ac08-6164601d5f0e,St. Tropez,"250,000"
Mino Brasserie West Village,Mino Brasserie,West Village,100.0%,529bc07a-836c-47de-86fc-dc1390146b86,fbd84774-ee20-4d50-ac98-9a6fc13a4962,Mino Brasserie,"250,000"
Sweet Rose Creamery Brentwood Country Mart,Sweet Rose Creamery,Brentwood Country Mart,100.0%,40f76c62-3995-4698-a029-1b82843130ba,f8ea8df0-0efa-4441-bcdd-5fda2649352a,Rustic Canyon Family Group,"250,000"
Ambra West Village,Criollas West Village,West Village,96.8%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"250,000"
White Horse Tavern West Village,White Horse Tavern,West Village,93.5%,4f0ab25f-67e0-431b-9bee-41772e1e29ca,ed4de604-df43-4ac3-b3ea-001e4fcd566a,White Horse Tavern,"250,000"
Softside Soho,Softside,Soho,96.2%,58cc2959-2a9e-4951-b354-06e9b42f96e5,83195eeb-f5c9-4cca-93b7-5e7c44ef24a2,Upside,"250,000"
Romeos East Village,Nowon - East Village,East Village,100.0%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Unregular Pizza Midtown,Unregular Pizza,Lower East Side,98.9%,8679d471-40a0-46b8-b41b-7d18c249226b,8cf91e48-faf9-4df5-9552-f46a0bd0d1cd,Unregular Pizza,"1,000,000"
Unregular Pizza Lower East Side,Unregular Pizza,Lower East Side,100.0%,8679d471-40a0-46b8-b41b-7d18c249226b,8cf91e48-faf9-4df5-9552-f46a0bd0d1cd,Unregular Pizza,"1,000,000"
Local 42 Hell's Kitchen,Criollas Hell's Kitchen,Hell's Kitchen,98.9%,45f037e6-a037-4bc9-a068-070ff1c11d83,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"1,000,000"
Zillions Pizza Hell's Kitchen,Zillions Pizza,Hell's Kitchen,100.0%,cd7a7152-adf8-4fb2-b6d8-1a47e467d22e,f0c6801b-de71-4244-a482-2d4f1d61fd0d,Zillion's Pizza,"1,000,000"
Lovely's Old Fashioned Hell's Kitchen,Lovely's Old Fashioned,Hell's Kitchen,94.6%,20d0ee42-c80f-42e4-b959-d3bf1c844b4d,a7438125-afaf-476b-b166-3e00cd618f36,Lovely's Old Fashioned,"1,000,000"
Spring Cafe Aspen Greenwich Village,Spring Cafe Aspen,Greenwich Village,100.0%,669f25e4-0f7f-47e5-bfba-58b8f7fc6bad,e6338b5f-832e-4e31-84d9-6e008b083002,Spring Cafe Aspen,"500,000"
Cappone's West Village,Criollas West Village,West Village,94.4%,ff22710d-c7ce-4fea-8aca-5301f23b20f9,c0a7f98b-d21e-49b6-b627-1c26939729ef,Criollas Baked Empanadas,"500,000"
Santa Panza,Santa Panza,Bushwick,100.0%,5b28569d-dc4c-4abb-8768-44e81ed0475d,c762b374-85b4-4408-b464-634caca66d66,Santa Panza,"250,000"
Alidoro The Hugh,Alidoro,Bryant Park,93.7%,d3906dd6-27ba-44aa-a8f8-b71941b64fb9,fa5c6b2d-8dce-420f-8ad2-e61f3dd44e59,Alidoro,"500,000"
Alidoro Midtown,Alidoro,Bryant Park,93.6%,d3906dd6-27ba-44aa-a8f8-b71941b64fb9,fa5c6b2d-8dce-420f-8ad2-e61f3dd44e59,Alidoro,"500,000"
Mah-Ze-Dahr West Village,Mah-Ze-Dahr,Battery Park City,92.9%,a9eba89d-4f7f-4939-9aee-d9ae77850acc,0718bd4b-6d7a-4ce4-a2d3-6b16e1252d63,Mah-Ze-Dahr,0
Mah-Ze-Dahr Battery Park City,Mah-Ze-Dahr,Battery Park City,95.0%,a9eba89d-4f7f-4939-9aee-d9ae77850acc,0718bd4b-6d7a-4ce4-a2d3-6b16e1252d63,Mah-Ze-Dahr,0
Moongate Lounge Chinatown,Moongate Lounge,Chinatown,95.0%,8da46023-a30c-4d13-a04c-5cc15a4808b1,c5f94f5c-9795-49b4-8ce2-6121d2241a52,Mister Jiu's / Moongate Lounge,"500,000"
Nudibranch East Village,Nowon - East Village,East Village,98.2%,187b348e-cbac-415f-8a3e-22505b38305e,8c8ffae7-7b2e-4679-95f1-7393e05db05b,Nowon,"500,000"
Raf's SoHo,Raf's,SoHo,100.0%,cce866d9-80d0-41db-a320-83242190be69,22a8a95d-7cf3-48d0-91a6-601204255504,Raf's,"500,000"
Sunday in Brooklyn Williamsburg,Sunday in Brooklyn,Williamsburg,98.5%,3f27a4f2-8958-4387-a8cc-b13b96ae19ff,6b53ecec-94e9-4914-88a3-18a2175b0a46,Bin Bin Sake / Rule of Thirds,"500,000"
Moody Tongue Sushi West Village,Moody Tongue Sushi,West Village,93.5%,7b24148b-998e-40e7-8bac-450924a291eb,9aa582d3-403f-4461-b02f-48c27b60d543,Moody Tongue,"500,000"
Rancho Lewis NoMo,Rancho Lewis,NoMo,100.0%,e1ac129c-1c1e-4e94-9328-096b48080e3e,44e3a16a-01b5-4878-9f0b-33d8121351bb,Lewis Barbecue / Rancho Lewis,"500,000"
Brenda's Meat & Three NOPA,Brenda's Meat & Three,NOPA,100.0%,965cceca-4a6f-477b-82f8-3dd816e75f3b,ce581429-728c-4c77-a94f-73dd079d1ca9,Brenda and the Krewe,"500,000"
Brenda's French Soul Food Tenderloin,Brenda's French Soul Food,Tenderloin,100.0%,ea5e6c30-05d4-45bf-916f-fc94081b1f14,ce581429-728c-4c77-a94f-73dd079d1ca9,Brenda and the Krewe,"500,000"
Diner Williamsburg,Veselka Williamsburg,Williamsburg,93.7%,5a02aa66-fc07-4b42-b412-c13515a47316,a5197cd6-00a1-408a-9e6e-a2669e1c6417,Veselka,"500,000"
Sereneco Greenpoint,Sereneco,Greenpoint,99.3%,dbf34048-0a4c-441d-8e37-9555a4f19feb,114296c6-a1ce-4c68-8f1e-aed7e333cca2,Sereneco,"500,000"
Sereneco Cafe,Sereneco Cafe,Greenpoint,100.0%,54008180-589f-474e-b1e7-f7ac3854ecf4,114296c6-a1ce-4c68-8f1e-aed7e333cca2,Sereneco,"500,000"
Joey Roses LES,Joey Roses,LES,100.0%,f11b3d2e-977b-45f8-a5e2-57288728e120,cdf74ab2-3413-423f-9e7e-5f3c22d370c8,Joey Roses,"500,000"
